Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-28 00:00:00-04:00,87.11291331867709,87.15364180523848,84.43314793174943,84.70193481445312,11348400,0.0,0.0
2021-06-29 00:00:00-04:00,85.19064189360998,85.5001634637697,84.39241579163809,84.51459503173828,7225500,0.0,0.0
2021-06-30 00:00:00-04:00,84.57975121427098,85.42685273391751,84.48201279442725,85.31282043457031,7927500,0.0,0.0
2021-07-01 00:00:00-04:00,87.11291305355812,87.2350922985759,86.12734458185857,86.51016998291016,10873200,0.0,0.0
2021-07-02 00:00:00-04:00,86.09475879522363,86.66492650579316,85.55717884363467,86.39613342285156,7107700,0.0,0.0
2021-07-06 00:00:00-04:00,86.31468718214808,86.31468718214808,84.2132240471892,84.70193481445312,10162800,0.0,0.0
2021-07-07 00:00:00-04:00,84.67750138770587,85.44315220280397,83.17878751864835,83.83854675292969,8245000,0.0,0.0
2021-07-08 00:00:00-04:00,82.67378474562773,83.96886863710661,82.44572012682352,83.56975555419922,8695500,0.0,0.0
2021-07-09 00:00:00-04:00,84.27024735292906,84.89743129916239,83.37427650117655,84.76710510253906,8567900,0.0,0.0
2021-07-12 00:00:00-04:00,84.35170065408744,85.54089926969188,84.09105446730146,84.93815612792969,9898600,0.0,0.0
2021-07-13 00:00:00-04:00,84.7100923316033,85.18251549180658,84.07476763340354,84.653076171875,6738000,0.0,0.0
2021-07-14 00:00:00-04:00,85.10105716343863,85.7852510194026,82.85298009586668,83.05661010742188,9216600,0.0,0.0
2021-07-15 00:00:00-04:00,82.30725712462325,83.28467874149489,82.14434937894792,82.5108871459961,9665700,0.0,0.0
2021-07-16 00:00:00-04:00,82.77965765061346,82.82853307178014,80.09174562961184,80.32795715332031,12199100,0.0,0.0
2021-07-19 00:00:00-04:00,78.04730650278255,78.96771186978005,76.9884280122979,78.16133880615234,17385500,0.0,0.0
2021-07-20 00:00:00-04:00,78.10432565572252,79.85554497375783,77.42013180921275,78.62561798095703,12114600,0.0,0.0
2021-07-21 00:00:00-04:00,79.80667552719761,81.83482866833758,79.57860469806562,81.30538940429688,11478100,0.0,0.0
