Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-19 00:00:00-05:00,317.7867012557013,319.8664841728432,315.52229326498684,316.7662658691406,4625200,0.0,0.0
2021-01-20 00:00:00-05:00,320.70228803060303,328.41881588079326,319.866507315791,325.48382568359375,5081000,0.0,0.0
2021-01-21 00:00:00-05:00,324.99788412401983,327.3789099799909,322.4127474580091,325.02703857421875,3484900,0.0,0.0
2021-01-22 00:00:00-05:00,321.09102776410435,325.71703509219356,319.65267240337124,319.73040771484375,3846600,0.0,0.0
2021-01-25 00:00:00-05:00,318.2920657844292,320.66339305515913,308.3014030560889,319.9247741699219,6257700,0.0,0.0
2021-01-26 00:00:00-05:00,320.71199919091634,321.23680894855903,316.64965431924,318.47674560546875,3503100,0.0,0.0
2021-01-27 00:00:00-05:00,311.3433709641991,313.90908171967124,304.3071521216851,306.6104431152344,7449400,0.0,0.0
2021-01-28 00:00:00-05:00,317.8838319014517,319.74007724632594,312.91767046973075,315.1529235839844,6906400,0.0,0.0
2021-01-29 00:00:00-05:00,314.6864857898555,316.5135770565121,303.5879236364961,307.38787841796875,7627200,0.0,0.0
2021-02-01 00:00:00-05:00,311.8777915537353,314.4143172405131,308.64149987081794,312.5094909667969,4930700,0.0,0.0
2021-02-02 00:00:00-05:00,314.3463498452987,326.69861223418195,314.3463498452987,324.958984375,5686000,0.0,0.0
2021-02-03 00:00:00-05:00,324.4438870662292,326.5430962439778,321.7518609082345,323.4526062011719,4036800,0.0,0.0
2021-02-04 00:00:00-05:00,325.9308649281759,333.5890837446681,325.6295923818267,331.2371826171875,4537500,0.0,0.0
2021-02-05 00:00:00-05:00,332.87957887835387,334.63863307781986,327.8939904130693,329.2156982421875,2964800,0.0,0.0
2021-02-08 00:00:00-05:00,330.43047596212136,331.8785294395433,326.0862858712149,327.5440673828125,2652800,0.0,0.0
2021-02-09 00:00:00-05:00,326.4945401342274,326.75693017934447,320.711993836445,324.05517578125,2993300,0.0,0.0
2021-02-10 00:00:00-05:00,325.57124011529856,326.02801289225386,322.8986403830088,324.803466796875,4246300,0.0,0.0
2021-02-11 00:00:00-05:00,335.7757084809799,339.75058957516177,330.6734726791705,333.2197265625,5110800,0.0,0.0
2021-02-12 00:00:00-05:00,331.7230731928721,333.4627009985799,327.22341191006655,331.4023742675781,3025100,0.0,0.0
2021-02-16 00:00:00-05:00,333.54042512125653,334.3178967385875,328.55480755532466,331.6064147949219,2916900,0.0,0.0
2021-02-17 00:00:00-05:00,329.49758605015546,330.7998676320429,326.38763952180017,327.835693359375,2267000,0.0,0.0
2021-02-18 00:00:00-05:00,325.0755746662413,330.3819211407886,323.472020808861,328.933837890625,2393700,0.0,0.0
2021-02-19 00:00:00-05:00,328.91438632149186,329.45862238105246,321.68378763459697,323.792724609375,4095800,0.0,0.0
2021-02-22 00:00:00-05:00,320.71201739141804,334.43459957199434,319.5166255585729,331.0719909667969,4940300,0.0,0.0
2021-02-23 00:00:00-05:00,331.0622139750986,344.3085949345725,328.885269487907,340.5572509765625,6326600,0.0,0.0
2021-02-24 00:00:00-05:00,342.9382007243529,358.4101332659725,340.70294783710546,356.98150634765625,7467400,0.0,0.0
2021-02-25 00:00:00-05:00,354.29927097897445,356.9815988657542,342.2968620795773,344.5904541015625,5207500,0.0,0.0
2021-02-26 00:00:00-05:00,347.0297875678267,349.27479872133586,337.35012517057936,343.8907165527344,4868500,0.0,0.0
2021-03-01 00:00:00-05:00,350.52848638573386,356.13610603133833,349.07070458398243,352.6860046386719,4382900,0.0,0.0
2021-03-02 00:00:00-05:00,351.81131806630157,356.2915529359136,349.22618161760573,352.6082458496094,3559200,0.0,0.0
2021-03-03 00:00:00-05:00,349.86760157334317,355.1447641123332,345.44567569469325,350.1105651855469,3692300,0.0,0.0
2021-03-04 00:00:00-05:00,349.9647791376617,351.45171519931677,334.97877107859614,339.6631164550781,4572000,0.0,0.0
2021-03-05 00:00:00-05:00,344.9305651128508,351.6071998712243,336.66980299029944,350.7228088378906,4643200,0.0,0.0
2021-03-08 00:00:00-05:00,352.20006946435296,371.69546861606915,351.6072524477668,360.87872314453125,7213300,0.0,0.0
2021-03-09 00:00:00-05:00,364.44542980774463,376.41868411310315,362.2296027808593,365.9226379394531,5832800,0.0,0.0
2021-03-10 00:00:00-05:00,366.00038461512514,373.19210147218325,362.5017027320947,370.95684814453125,4509500,0.0,0.0
2021-03-11 00:00:00-05:00,374.64984295015216,378.5372602570279,371.8314713343953,373.5613708496094,3729700,0.0,0.0
2021-03-12 00:00:00-05:00,370.41268733635457,373.1241403955959,368.56613981531626,371.9384765625,2467500,0.0,0.0
2021-03-15 00:00:00-04:00,372.5215297821999,376.9434557009674,367.98298607389967,371.0151672363281,4216200,0.0,0.0
2021-03-16 00:00:00-04:00,371.92867629524284,374.4360475000369,368.0315308118686,371.61767578125,3445100,0.0,0.0
2021-03-17 00:00:00-04:00,371.10258081818165,374.2611073819658,365.29088126370834,368.02178955078125,3240900,0.0,0.0
2021-03-18 00:00:00-04:00,364.4746147154244,364.91196113120134,354.76579714473337,356.6706237792969,7205200,0.0,0.0
2021-03-19 00:00:00-04:00,354.53248189623696,355.97083712039995,340.28512214464484,346.475830078125,12224300,0.0,0.0
2021-03-22 00:00:00-04:00,345.921898783053,351.4711797647566,344.03649864940127,348.3126525878906,4140400,0.0,0.0
2021-03-23 00:00:00-04:00,349.1872628377907,349.1872628377907,343.5602473967991,345.27069091796875,3756300,0.0,0.0
2021-03-24 00:00:00-04:00,347.02976233182375,354.71713433285896,345.980172610785,349.5274353027344,3550000,0.0,0.0
2021-03-25 00:00:00-04:00,347.9335868611234,349.35248591393054,344.18221363116766,348.2737121582031,2961800,0.0,0.0
2021-03-26 00:00:00-04:00,349.7995407626988,356.2915209194936,347.20470617035573,355.83477783203125,2741200,0.0,0.0
2021-03-29 00:00:00-04:00,353.98823199425345,355.0670057849891,348.51668705679776,352.6956787109375,4054900,0.0,0.0
2021-03-30 00:00:00-04:00,350.6256269006623,354.308963356448,347.0492098506557,348.1182556152344,2885800,0.0,0.0
2021-03-31 00:00:00-04:00,349.4692129050095,351.32545886079475,345.76644903078693,346.0288391113281,4372600,0.0,0.0
2021-04-01 00:00:00-04:00,346.9908883984738,353.171867881232,345.24153275831566,353.0746765136719,3701800,0.0,0.0
2021-04-05 00:00:00-04:00,356.47619246312513,360.09149212301196,354.08543887375197,357.95343017578125,2180300,0.0,0.0
2021-04-06 00:00:00-04:00,354.6296702385991,360.31502450027125,352.29722557342774,359.1682434082031,2661900,0.0,0.0
2021-04-07 00:00:00-04:00,358.7503414514092,363.4346570404873,358.6142676015369,360.6357116699219,2958300,0.0,0.0
2021-04-08 00:00:00-04:00,362.93201852609485,369.07169721466096,362.688766502954,367.5440673828125,3528400,0.44,0.0
