Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2021-07-02 00:00:00-04:00,,,,,0,0.9,0.0
2021-07-06 00:00:00-04:00,135.97976684570312,138.08048632792426,135.0402047739098,138.08048632792426,15083400,0.0,0.0
2021-07-07 00:00:00-04:00,136.13937377929688,136.7509793689772,134.33116090664916,134.7388889496943,12271800,0.0,0.0
2021-07-08 00:00:00-04:00,133.79042053222656,135.19976381598372,132.99266909841674,134.3842944909461,17834600,0.0,0.0
2021-07-09 00:00:00-04:00,138.07168579101562,138.408501651149,135.24412590989746,135.6607264047707,13694500,0.0,0.0
2021-07-12 00:00:00-04:00,140.04830932617188,141.07651534953,136.44960176952983,136.81302151444098,19940400,0.0,0.0
2021-07-13 00:00:00-04:00,137.9652557373047,139.50756420028057,136.05954118932092,138.31981640269902,22671700,0.0,0.0
2021-07-14 00:00:00-04:00,137.49549865722656,139.41008600877203,135.57205235941692,138.23119695041603,14622800,0.0,0.0
2021-07-15 00:00:00-04:00,137.79689025878906,138.7453115430436,136.23684997798162,136.4141235939525,11539300,0.0,0.0
2021-07-16 00:00:00-04:00,134.6502227783203,138.5237057740701,133.86134374994975,138.24007071476723,14002700,0.0,0.0
2021-07-19 00:00:00-04:00,130.27149963378906,132.79769250299162,129.15466373141084,131.67198412889726,22172900,0.0,0.0
2021-07-20 00:00:00-04:00,132.70022583007812,133.95001389465287,129.70425100447258,129.87266571125343,15385200,0.0,0.0
2021-07-21 00:00:00-04:00,135.49224853515625,136.19248382390688,134.16267656085802,134.7742818330521,12356700,0.0,0.0
2021-07-22 00:00:00-04:00,133.78155517578125,136.00638142799636,132.93063649792975,135.5100099450649,9913300,0.0,0.0
2021-07-23 00:00:00-04:00,133.52452087402344,135.4745576479783,133.17883259830012,134.26907815633373,9666100,0.0,0.0
2021-07-26 00:00:00-04:00,134.4197235107422,134.69451308459358,133.10788292716342,133.12561434082286,8208000,0.0,0.0
2021-07-27 00:00:00-04:00,134.24246215820312,135.16430640085173,132.77993823827353,133.31175897047203,11218700,0.0,0.0
2021-07-28 00:00:00-04:00,134.46409606933594,135.41253094430652,133.7372701360457,134.9870580064133,9217300,0.0,0.0
2021-07-29 00:00:00-04:00,135.61634826660156,136.38749572282865,134.65019582889767,135.74044111616806,9063500,0.0,0.0
2021-07-30 00:00:00-04:00,134.53497314453125,136.2102335159539,134.02087028913337,135.24408099766993,9805200,0.0,0.0
2021-08-02 00:00:00-04:00,133.99429321289062,136.90162352640857,133.9056631756532,134.7565818636977,10203200,0.0,0.0
2021-08-03 00:00:00-04:00,135.5188751220703,135.90002622298712,132.5317736159463,134.68567429807973,10394800,0.0,0.0
