Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-13 00:00:00-04:00,214.3504063358693,215.21375456583718,213.46925333117295,214.68862915039062,2294800,0.0,0.0
2021-09-14 00:00:00-04:00,215.15143737607326,215.61426643592966,213.16663286441758,214.61741638183594,2013800,0.0,0.0
2021-09-15 00:00:00-04:00,214.02996686660154,214.74200839274496,211.9917481677792,214.48388671875,2507200,0.0,0.0
2021-09-16 00:00:00-04:00,213.86976569711655,216.8069287051441,213.56715244165753,216.46871948242188,3410700,0.0,0.0
2021-09-17 00:00:00-04:00,217.02940758291234,217.732553453421,215.28492025207376,215.82785034179688,4756600,0.0,0.0
2021-09-20 00:00:00-04:00,213.50485802073086,215.35616069949785,210.62109572823664,212.8017120361328,4549900,0.0,0.0
2021-09-21 00:00:00-04:00,213.61164687824842,215.70326635302305,213.0776123286277,214.05667114257812,2008300,0.0,0.0
2021-09-22 00:00:00-04:00,215.21374052135698,218.82733543477602,214.92002287229238,216.3975067138672,3361900,0.0,0.0
2021-09-23 00:00:00-04:00,216.94044432585315,218.90744406908746,216.75352814963668,217.8660888671875,2941700,0.0,0.0
2021-09-24 00:00:00-04:00,219.52154110841593,220.18018182642626,218.27547875657046,219.3257293701172,2508800,0.0,0.0
2021-09-27 00:00:00-04:00,218.95190760077853,221.5330425425097,218.31107166277917,220.8299102783203,2463300,0.0,0.0
2021-09-28 00:00:00-04:00,220.10009359548766,220.47392592702374,216.20169029422928,216.96713256835938,3007500,0.0,0.0
2021-09-29 00:00:00-04:00,217.51007657470674,218.69384281718607,216.41530704169094,217.4210662841797,1719000,0.0,0.0
2021-09-30 00:00:00-04:00,217.85717488168828,218.43570097355698,214.3414860271935,214.59959411621094,3136800,0.0,0.0
2021-10-01 00:00:00-04:00,216.34411752121827,217.7859918926175,213.83417397582764,216.21949768066406,2076000,0.0,0.0
2021-10-04 00:00:00-04:00,215.44514352906765,217.89277696986994,215.26713654049456,216.35299682617188,2236500,0.0,0.0
2021-10-05 00:00:00-04:00,217.14511464318653,219.73515881115455,216.29066218223687,218.25767517089844,2463100,0.0,0.0
2021-10-06 00:00:00-04:00,217.67025375600502,219.98438523281703,216.29958507461217,219.9309844970703,2107900,0.0,0.0
2021-10-07 00:00:00-04:00,220.732054148053,222.46764621243983,220.4472320754029,221.01687622070312,2423900,0.0,0.0
2021-10-08 00:00:00-04:00,221.84457413901958,222.1827968928743,219.93987101663515,220.46499633789062,1687500,0.0,0.0
2021-10-11 00:00:00-04:00,220.8210323938472,221.74667683349583,219.35244425937225,219.46815490722656,1504000,0.0,0.0
2021-10-12 00:00:00-04:00,220.49172229692644,221.26607376636355,217.33204724529355,217.63467407226562,2346700,0.0,0.0
2021-10-13 00:00:00-04:00,216.522099918922,217.05612086417108,213.52262727313803,215.9702606201172,3214300,0.0,0.0
2021-10-14 00:00:00-04:00,216.17498234065116,218.4356995373593,215.42733128487245,217.66136169433594,2512000,0.0,0.0
2021-10-15 00:00:00-04:00,218.27555416527775,219.29020916833568,215.38289580959633,215.6143035888672,2564700,0.0,0.0
2021-10-18 00:00:00-04:00,215.7655647118999,216.68231361853373,214.61740807482647,215.62315368652344,2484900,0.0,0.0
2021-10-19 00:00:00-04:00,216.477591241213,217.1095180532587,214.97340714503986,216.0770721435547,2071600,0.0,0.0
2021-10-20 00:00:00-04:00,213.96768382092355,215.97029322533302,212.97972930483897,213.36245727539062,3040200,0.0,0.0
2021-10-21 00:00:00-04:00,213.76295589217932,215.3116452385719,212.99751360571807,214.8577117919922,2702400,0.0,0.0
2021-10-22 00:00:00-04:00,214.24358902778894,215.60536220107602,211.83155152010661,212.22317504882812,3283700,0.0,0.0
2021-10-25 00:00:00-04:00,212.92631662840577,212.94412140258964,210.49648782324954,211.24412536621094,3178400,0.0,0.0
2021-10-26 00:00:00-04:00,211.35983140877516,212.18757004588343,210.17606520108555,210.42527770996094,3066400,0.0,0.0
2021-10-27 00:00:00-04:00,214.54618324127486,217.7236491700976,212.5880793524047,216.0414581298828,5249400,0.0,0.0
2021-10-28 00:00:00-04:00,216.637835158663,219.0231725937998,215.86349718203076,218.50694274902344,3448500,0.0,0.0
2021-10-29 00:00:00-04:00,216.28178052138392,219.0320270636207,215.81005591372758,218.55140686035156,4329400,0.0,0.0
2021-11-01 00:00:00-04:00,218.7739051938077,224.01628986453204,218.3644769433658,223.02833557128906,4456200,0.0,0.0
2021-11-02 00:00:00-04:00,224.0785903912826,224.48801864939725,220.87442415554673,221.83567810058594,2624300,0.0,0.0
2021-11-03 00:00:00-04:00,220.72315725757989,223.5179093190261,220.65195173983466,222.8681640625,2399000,0.0,0.0
2021-11-04 00:00:00-04:00,223.5089814503106,226.23252776625634,222.69013843631183,225.59170532226562,2711000,0.0,0.0
2021-11-05 00:00:00-04:00,226.68647989328764,229.21421465544958,226.62416997243574,226.70428466796875,3224300,0.0,0.0
2021-11-08 00:00:00-05:00,226.76657636660786,227.54091428608942,224.22993247849,225.27130126953125,2471300,0.0,0.0
2021-11-09 00:00:00-05:00,225.10216409428247,225.79640082145124,222.9126388601688,224.87074279785156,2258900,0.0,0.0
2021-11-10 00:00:00-05:00,223.2330697817463,225.82311426518856,223.2330697817463,225.29798889160156,1794300,0.0,0.0
2021-11-11 00:00:00-05:00,225.4759931942084,225.4759931942084,221.8534891990127,222.654541015625,1640500,0.0,0.0
2021-11-12 00:00:00-05:00,222.6455999882047,223.41104214912352,221.52414390265145,223.10842895507812,1625200,0.0,0.0
2021-11-15 00:00:00-05:00,223.1084466593023,225.85869315136583,223.1084466593023,225.1288604736328,1709200,0.0,0.0
2021-11-16 00:00:00-05:00,225.62728933959716,226.2414249628405,224.63043938944094,224.70164489746094,2195500,0.0,0.0
2021-11-17 00:00:00-05:00,224.6571595608054,225.48489820001186,222.97496833110094,224.9063720703125,1412000,0.0,0.0
2021-11-18 00:00:00-05:00,225.32470384303716,225.6184215068641,223.47340114989566,225.60951232910156,1751200,0.0,0.0
2021-11-19 00:00:00-05:00,225.44037288199178,225.46708683089278,222.71682671391216,224.24771118164062,2743100,0.0,0.0
2021-11-22 00:00:00-05:00,224.88857514564617,227.36290913430074,224.47916040047915,225.60951232910156,2438700,0.0,0.0
2021-11-23 00:00:00-05:00,226.79327128291976,227.66551506856936,225.22679070731556,227.54090881347656,2770000,0.0,0.0
2021-11-24 00:00:00-05:00,226.51733383936818,229.4456008881086,226.11681474722013,228.84034729003906,2642800,0.0,0.0
2021-11-26 00:00:00-05:00,224.74613251011,225.32467215971548,220.97233571874924,222.52101135253906,2573300,0.0,0.0
2021-11-29 00:00:00-05:00,224.15873754411678,224.57706145804872,222.3608356319665,222.77915954589844,2084600,0.0,0.0
2021-11-30 00:00:00-05:00,221.40086251782114,221.86624376874835,218.331064231106,218.91281127929688,3836100,1.38,0.0
2021-12-01 00:00:00-05:00,219.95100094401695,224.55121267853244,218.47428456545614,218.53692626953125,3275300,0.0,0.0
2021-12-02 00:00:00-05:00,219.86149204468305,224.05000526261296,219.27080008122485,222.67173767089844,3290500,0.0,0.0
2021-12-03 00:00:00-05:00,224.03217159011808,224.35435238946076,221.57096811518028,223.14613342285156,3229900,0.0,0.0
2021-12-06 00:00:00-05:00,225.89369686716245,229.94796864134793,225.86684847048755,228.9276885986328,3616800,0.0,0.0
2021-12-07 00:00:00-05:00,229.9658637945712,233.03564854266278,229.51837235096448,232.61500549316406,2596200,0.0,0.0
2021-12-08 00:00:00-05:00,232.69554593584675,235.2104456126751,231.88110824754614,232.31964111328125,3453100,0.0,0.0
2021-12-09 00:00:00-05:00,232.24807712150624,235.47002122619676,231.2277834413908,234.78982543945312,2955100,0.0,0.0
2021-12-10 00:00:00-05:00,236.1680876572111,237.41209966260996,234.8703515511114,237.14361572265625,2529600,0.0,0.0
2021-12-13 00:00:00-05:00,236.47239466754263,237.94015249378361,234.84351915364476,235.4610595703125,2878800,0.0,0.0
2021-12-14 00:00:00-05:00,235.38049883431728,235.90853545912,234.2617702276903,234.95089721679688,3695500,0.0,0.0
2021-12-15 00:00:00-05:00,234.62869839027053,237.7700968154368,233.95746127806973,236.7408447265625,2641800,0.0,0.0
2021-12-16 00:00:00-05:00,237.67164777771399,238.86199028495074,236.35602187181047,237.66268920898438,2347700,0.0,0.0
2021-12-17 00:00:00-05:00,236.27549080589492,237.03623175019854,233.4831484664045,234.217041015625,5943200,0.0,0.0
2021-12-20 00:00:00-05:00,232.3643965609477,234.44969453759714,231.29040623968862,234.24386596679688,2824500,0.0,0.0
2021-12-21 00:00:00-05:00,236.5350079776774,238.49502246252732,235.75637732448905,236.62451171875,2851800,0.0,0.0
2021-12-22 00:00:00-05:00,236.56187525275112,237.56425168228418,236.33812953856216,237.11676025390625,1795100,0.0,0.0
2021-12-23 00:00:00-05:00,237.99391881132777,239.29162792328748,237.57327566033138,238.02076721191406,1509800,0.0,0.0
2021-12-27 00:00:00-05:00,238.48605030494898,240.08807704692717,238.06540732731355,240.07015991210938,1485500,0.0,0.0
2021-12-28 00:00:00-05:00,239.47952034963131,240.94730546467434,239.1841880003764,239.74803161621094,1304000,0.0,0.0
2021-12-29 00:00:00-05:00,240.25813514932756,241.3947534328448,239.81064376503952,240.29391479492188,1318500,0.0,0.0
2021-12-30 00:00:00-05:00,240.7504035262017,240.98310782358078,238.69195375199143,239.14837646484375,1714600,0.0,0.0
2021-12-31 00:00:00-05:00,239.85538969308016,240.8577660560927,239.14834563560592,239.9180450439453,1519200,0.0,0.0
2022-01-03 00:00:00-05:00,241.1889035595591,242.2987007928239,237.67162774666372,240.3744659423828,2750600,0.0,0.0
2022-01-04 00:00:00-05:00,241.1978681169231,242.6745842959137,240.09702942429698,240.3118438720703,2506000,0.0,0.0
2022-01-05 00:00:00-05:00,241.0189094306496,241.89600259760675,238.87095570695476,239.13050842285156,2473000,0.0,0.0
2022-01-06 00:00:00-05:00,239.9628206734584,242.32558873699435,239.67641957859735,241.36795043945312,2908400,0.0,0.0
2022-01-07 00:00:00-05:00,240.35661932501924,241.79755607987545,238.96044810537558,239.01414489746094,2209100,0.0,0.0
2022-01-10 00:00:00-05:00,238.70089061848694,238.70984918789236,234.49448721739049,236.64244079589844,3122400,0.0,0.0
