,pca_strat_window_size,pca_strat_n_components,pca_strat_z_threshold,pca_strat_exit_threshold,sharpe_ratio
380,334,7,2.3,0.25,-0.23700986026083765
381,334,7,2.35,0.25,-0.36765614776003686
382,334,7,2.4,0.25,0.13712981620337578
383,334,7,2.45,0.25,0.404542536383397
384,334,7,2.5,0.25,0.5751171407074757
385,334,7,2.55,0.25,0.49316056936631175
386,334,7,2.6,0.25,0.4570988694851869
387,334,7,2.65,0.25,0.5902964617301203
388,334,7,2.7,0.25,0.38513126177012763
389,334,7,2.75,0.25,0.43111905180649246
390,334,7,2.8,0.25,0.7209199355263125
391,334,7,2.85,0.25,0.7258618538253109
392,334,7,2.9,0.25,0.8132272018178985
393,334,7,2.95,0.25,0.6967499247225415
394,334,7,3.0,0.25,0.6585488083134858
395,334,7,3.05,0.25,0.603933288812989
396,336,7,2.0,0.25,-0.37123069840983225
397,336,7,2.05,0.25,0.14021341223241743
398,336,7,2.1,0.25,0.20843885531874265
399,336,7,2.15,0.25,0.10015878441955993
400,336,7,2.2,0.25,0.258130748551807
401,336,7,2.25,0.25,0.0976228960246486
402,336,7,2.3,0.25,0.19460318433194806
403,336,7,2.35,0.25,0.4483123544812968
404,336,7,2.4,0.25,0.6271460642916903
405,336,7,2.45,0.25,0.5894511880120239
406,336,7,2.5,0.25,0.31204579795412823
407,336,7,2.55,0.25,0.5005906096636927
408,336,7,2.6,0.25,0.4046893974610717
409,336,7,2.65,0.25,0.4164047755280966
410,336,7,2.7,0.25,0.35697928575994314
411,336,7,2.75,0.25,0.07219791931964267
412,336,7,2.8,0.25,0.035775585210359895
413,336,7,2.85,0.25,0.09180249731559093
414,336,7,2.9,0.25,0.09180249731559093
415,336,7,2.95,0.25,-0.07186385203465044
416,336,7,3.0,0.25,-0.06063985133485348
417,336,7,3.05,0.25,-0.12574489438667866
418,338,7,2.0,0.25,-0.6783646617196517
419,338,7,2.05,0.25,0.25669888493564713
420,338,7,2.1,0.25,0.5150287145002733
421,338,7,2.15,0.25,0.7165411575756918
422,338,7,2.2,0.25,0.7174052670005363
423,338,7,2.25,0.25,0.7693252465212878
424,338,7,2.3,0.25,0.8188225045453931
425,338,7,2.35,0.25,0.8850585667367309
426,338,7,2.4,0.25,0.7690494006496469
427,338,7,2.45,0.25,0.7911856060023779
428,338,7,2.5,0.25,0.5739460631877836
429,338,7,2.55,0.25,0.5492582732811053
430,338,7,2.6,0.25,0.3948047231650914
431,338,7,2.65,0.25,0.45279013933631995
432,338,7,2.7,0.25,0.2638282350216779
433,338,7,2.75,0.25,0.214527973707101
434,338,7,2.8,0.25,0.17261525900794383
435,338,7,2.85,0.25,0.24123697322045434
436,338,7,2.9,0.25,0.16428759537434892
437,338,7,2.95,0.25,0.10302400250617054
438,338,7,3.0,0.25,0.12232001711174253
439,338,7,3.05,0.25,0.5843004481899635
440,340,7,2.0,0.25,-0.1686373158096159
441,340,7,2.05,0.25,0.17162614350279282
442,340,7,2.1,0.25,0.5846279241923537
443,340,7,2.15,0.25,0.655810571995289
444,340,7,2.2,0.25,0.5126495072494748
445,340,7,2.25,0.25,0.6130271156576726
446,340,7,2.3,0.25,0.6295672505759038
447,340,7,2.35,0.25,0.9296726243563719
448,340,7,2.4,0.25,1.1484416139825977
449,340,7,2.45,0.25,1.1177924879633656
450,340,7,2.5,0.25,0.6799327991399425
451,340,7,2.55,0.25,0.46676005511255053
452,340,7,2.6,0.25,0.43240092489662224
453,340,7,2.65,0.25,0.320156595814856
454,340,7,2.7,0.25,0.24295160300641575
455,340,7,2.75,0.25,0.2112176078320826
456,340,7,2.8,0.25,0.2284922378191755
457,340,7,2.85,0.25,0.24220790437879108
458,340,7,2.9,0.25,0.19444719504265187
459,340,7,2.95,0.25,0.1672300101566669
460,340,7,3.0,0.25,0.14488121980506513
461,340,7,3.05,0.25,0.6669643936001045
462,342,7,2.0,0.25,-0.25881872517477184
463,342,7,2.05,0.25,-0.21958987875246672
464,342,7,2.1,0.25,0.9577709643762984
465,342,7,2.15,0.25,0.9677382755593692
466,342,7,2.2,0.25,0.9569807062720755
467,342,7,2.25,0.25,1.232229765339192
468,342,7,2.3,0.25,1.328167146765737
469,342,7,2.35,0.25,1.3385276782732778
470,342,7,2.4,0.25,1.2121997470636792
471,342,7,2.45,0.25,1.4882743101110467
472,342,7,2.5,0.25,1.1818824563258712
473,342,7,2.55,0.25,1.0817407427826433
474,342,7,2.6,0.25,0.9623725586425358
475,342,7,2.65,0.25,0.8244186486616301
476,342,7,2.7,0.25,0.36760316638886675
477,342,7,2.75,0.25,0.24912376645689177
478,342,7,2.8,0.25,0.0998202012391883
479,342,7,2.85,0.25,0.25814681663020056
480,342,7,2.9,0.25,0.26860380521585325
481,342,7,2.95,0.25,0.26860380521585325
482,342,7,3.0,0.25,0.8128642135088137
483,342,7,3.05,0.25,0.8128642135088137
484,344,7,2.0,0.25,-0.3388396949240562
485,344,7,2.05,0.25,-0.34294902681693107
486,344,7,2.1,0.25,-0.644317290017869
487,344,7,2.15,0.25,-0.642286309160753
488,344,7,2.2,0.25,0.9201393122372226
489,344,7,2.25,0.25,0.7975849632488979
490,344,7,2.3,0.25,0.7712154809450681
491,344,7,2.35,0.25,0.6322090040603341
492,344,7,2.4,0.25,0.6972612350440414
493,344,7,2.45,0.25,0.8589769928529639
494,344,7,2.5,0.25,0.965847839165191
495,344,7,2.55,0.25,0.8060459564641707
496,344,7,2.6,0.25,0.6728606139307906
497,344,7,2.65,0.25,0.4332844747396442
498,344,7,2.7,0.25,0.3241051808629677
499,344,7,2.75,0.25,0.173343457240194
500,344,7,2.8,0.25,0.48266432378524277
501,344,7,2.85,0.25,0.532729442561793
502,344,7,2.9,0.25,0.589679169802601
503,344,7,2.95,0.25,0.5929068292134481
504,344,7,3.0,0.25,1.0199488880302685
505,344,7,3.05,0.25,0.6888637201029983
506,346,7,2.0,0.25,-0.13579193334667627
507,346,7,2.05,0.25,-0.09605802141497843
508,346,7,2.1,0.25,0.05106823965106648
509,346,7,2.15,0.25,0.07401745171822136
510,346,7,2.2,0.25,1.0632101725231518
511,346,7,2.25,0.25,1.1515441377131868
512,346,7,2.3,0.25,1.1942993303412588
513,346,7,2.35,0.25,1.2459112105720855
514,346,7,2.4,0.25,0.9787057693737388
515,346,7,2.45,0.25,1.0616910648459574
516,346,7,2.5,0.25,1.2713916286688676
517,346,7,2.55,0.25,1.1800039236349116
518,346,7,2.6,0.25,0.7633788706896216
519,346,7,2.65,0.25,0.785848914298454
520,346,7,2.7,0.25,0.7647865906728942
521,346,7,2.75,0.25,0.8762764235436299
522,346,7,2.8,0.25,0.8762764235436299
523,346,7,2.85,0.25,1.2948561698201082
524,346,7,2.9,0.25,1.2341688676741764
525,346,7,2.95,0.25,1.2746495360580143
526,346,7,3.0,0.25,1.1010217240074078
527,346,7,3.05,0.25,1.1570220587611206
528,348,7,2.0,0.25,0.041749691797694645
529,348,7,2.05,0.25,-0.04978117499659251
530,348,7,2.1,0.25,0.371402850918525
531,348,7,2.15,0.25,0.4001656885800048
532,348,7,2.2,0.25,0.885772820152629
533,348,7,2.25,0.25,0.869136198132145
534,348,7,2.3,0.25,0.3683956925489394
535,348,7,2.35,0.25,0.2919219574020566
536,348,7,2.4,0.25,1.0300104249662352
537,348,7,2.45,0.25,1.1276886808546585
538,348,7,2.5,0.25,1.1717669451346837
539,348,7,2.55,0.25,0.5238569526431982
540,348,7,2.6,0.25,0.5644967942795436
541,348,7,2.65,0.25,0.6190735227101674
542,348,7,2.7,0.25,1.0029897966269807
543,348,7,2.75,0.25,0.9184590596551562
544,348,7,2.8,0.25,1.2984834631429516
545,348,7,2.85,0.25,1.2250369963552534
546,348,7,2.9,0.25,1.278818621638346
547,348,7,2.95,0.25,1.076324902991359
548,348,7,3.0,0.25,1.1893093855347594
549,348,7,3.05,0.25,1.200144651494795
550,350,7,2.0,0.25,0.6172771583881146
